id,name,description
1,Microsoft,"Global technology giant specializing in cloud computing, enterprise software, operating systems, and productivity suites."
2,Apple,"Premium consumer electronics company focusing on smartphones, personal computers, tablets, wearables, and ecosystem software."
3,Google,"Alphabet subsidiary dominating web search, cloud infrastructure, online advertising, mobile operating systems, and artificial intelligence models."
4,Amazon AWS,"On-demand cloud computing platforms and APIs providing distributed storage, compute power, and machine learning tools for enterprises."
5,Meta,"Social technology conglomerate operating global networking platforms, instant messaging apps, virtual reality hardware, and digital ad systems."
6,Salesforce,"Cloud-based customer relationship management (CRM) platform providing enterprise software for sales, service, and marketing automation."
7,Adobe,"Creative software enterprise providing digital media creation, multimedia editing tools, vector graphics, and document management cloud services."
8,OpenAI,"Artificial intelligence research and deployment company developing cutting-edge large language models, generative tools, and safety frameworks."
9,Infosys,"Indian multinational information technology company providing business consulting, software engineering, and next-generation digital services."
10,TCS,"Tata Consultancy Services, a leading global IT services, consulting, and business solutions organization with massive enterprise presence."
11,Wipro,"Global information technology, consulting, and business process services company driving digital transformation and cognitive computing."
12,HCLTech,Next-generation global technology company helping enterprises reimagine their businesses for the digital age with cloud and engineering solutions.
13,Oracle,"Enterprise software corporation specializing in database management systems, cloud engineered systems, and enterprise resource planning (ERP) software."
14,SAP,"Multinational software corporation developing enterprise software to manage business operations, logistics, finances, and customer relations."
15,IBM,"Technology and consulting corporation focusing on global hybrid cloud infrastructure, cognitive computing, mainframe hardware, and quantum research."
16,Nvidia,"Pioneering technology company designing graphics processing units (GPUs) for gaming, professional visualization, and high-performance AI computing."
17,Intel,"Semiconductor giant designing and manufacturing microprocessors, chipsets, and computing hardware components for global supply chains."
18,AMD,"Semiconductor company developing computer processors, high-performance graphics engines, and adaptive computing technologies for data centers."
19,Cisco,"Global networking hardware and software provider specializing in routers, switches, cybersecurity solutions, and cloud communication infrastructure."
20,Zoom,"Cloud-based video communications platform providing videotelephony, online chat, business webinars, and collaborative workspace solutions."
21,Slack,"Enterprise productivity messaging platform centralizing corporate communication, file sharing, and automated app integrations."
22,Atlassian,"Software company developing collaborative project tracking, issue management, agile development, and content management tools like Jira."
